Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Guatemala,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank. Also use data from Haver. Latest actual data: 2018. Data in yearly frequency. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013. Since the release of the new base year took longer than initially planned, the new base year appears to be a bit stale. Chain-weighted: Yes, from 2001",119.946,126.154,130.871,137.34,144.985,152.779,150.731,162.054,2018
Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No,21.631,22.69,25.407,28.562,31.066,33.392,34.585,37.943,2018
Guinea-Bissau,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 Notes: Data prior to 1997 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No,2.681,2.876,3.06,3.266,3.473,3.696,3.664,3.847,2018
Guyana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 Notes: Components of GDP by expenditure after 2007 (private and public consumption, private and public investment) are estimates because authorities stopped producing the data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Previous base year 1988. Rebased to 2006 in 2009. GDP deflator not equal to 100 in base year (2006) because the nominal GDP at market prices includes indirect taxes. Chain-weighted: No",5.561,5.79,6.047,6.292,6.712,7.148,10.989,11.903,2018
Haiti,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2017/18 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: 1986/87. Fiscal year 1986-1987 Chain-weighted: No,18.458,18.876,19.348,19.944,20.733,20.842,20.135,20.774,2018
Honduras,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Central Bank Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No,39.372,41.309,43.362,46.318,49.2,51.385,50.496,53.566,2018
Hong Kong SAR,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980",403.11,417.033,430.492,455.227,479.662,482.226,461.894,489.306,2019
Hungary,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: We maintain data only after 1995, as this is what the Statistical office provides. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2005. Changes in inventories is an estimate.",253.686,266.184,274.857,292.139,314.5,335.752,327.41,347.813,2019
Iceland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1990",14.968,15.842,17.067,18.179,19.332,20.046,18.72,20.239,2018
India,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. The original data is in fiscal years, which begins in April and ends in March, to match with authorities' reporting methods. Latest actual data: 2018/19. Official data for the latest year are revised estimates. Data available on quarter-by-quarter basis. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: April/March Base year: 2011/12. The base year is by Fiscal Year, which is April to March (e.g. FY2004: April 2004 ? March 2005). Growth rates of real GDP calculated from 1998 to 2011 are as per national accounts with base year 2004/05, and thereafter are as per national accounts with base year 2011/12 Chain-weighted: No","7,359.58","8,030.82","8,783.89","9,579.69","10,413.61","11,043.18","11,321.28","12,399.00",2019
Indonesia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Accessed via Haver Data. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008. National account SNA 2008 was  released in 2015 and the authorities publish data from 2010 only. Whenever applicable, the desks use spliced series from Haver for data prior 2010. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No","2,695.67","2,856.55","3,031.39","3,245.06","3,495.97","3,735.64","3,778.13","4,167.80",2019
Islamic Republic of Iran,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank Latest actual data: 2018/19 Notes: GDP in current prices in U.S. dollars is calculated by using the official exchange rate of the Central Bank of Iran (CBI), except for the years 2011- 2015 when the applicable exchange rate is a weighted average of the CBI official exchange rate and the parallel market exchange rate. National accounts manual used: System of National Accounts (SNA) 1993. n.a. GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: April/March. n.a. Base year: 2011/12. 2011/12=100 Chain-weighted: No","1,370.37","1,362.67","1,549.14","1,637.22","1,586.22","1,491.45","1,411.09","1,483.45",2019
Iraq,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: 1968/93 SNA. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007. Base year rebased from 1988 to 2007 in end-2014. Chain-weighted: No,549.008,568.795,662.032,657.673,669.906,708.265,679.098,742.149,2019
Ireland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Central Statistical Office of Ireland (CSO) Latest actual data: 2019 Notes: Prior to 1995 Real GDP is calculated using implied growth rates and excludes services produced by financial intermediaries (FISIM). National accounts manual used: European System of Accounts (ESA) 2010. The revision of NAs in accordance with ESA 2010 starts in 1997. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017. Base year changes every year. Due to chain-linking, the base equals to 100.1 instead of 100. Chain-weighted: Yes, from 1995",240.359,303.871,318.31,350.751,389.143,417.875,392.014,424.732,2019
Israel,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008. The System of National Accounts was revised in August 2013 in accordance with changes in the new System of National Accounts 2008. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995",277.497,286.869,301.381,318.033,336.992,354.878,334.675,358.186,2019
Italy,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010. ESA2010 GDP valuation: Gross domestic product, chained Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980","2,158.20","2,197.64","2,249.11","2,329.69","2,405.50","2,454.81","2,244.77","2,399.06",2019
Jamaica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007. Base year was changed from 2003 to 2007 for the Spring 2012 WEO round. Chain-weighted: No,24.281,24.748,25.379,26.034,27.171,27.913,26.516,27.98,2018
Japan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Cabinet Office of Japan via Haver database. Latest actual data: 2019 Notes: the recent revision didn?t go back pre-1994 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: Yes, from 1980","5,019.48","5,133.76","5,213.99","5,427.37","5,577.57","5,711.93","5,451.45","5,725.13",2019
Jordan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No,79.862,82.775,85.363,88.811,92.74,96.263,93.256,98.55,2018
Kazakhstan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 Notes: Data prior to 1996 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Official GDP is calculated based on production, which does not match the total by expenditure?s components. Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 1994",430.725,440.431,449.887,477.152,508.817,540.984,530.646,563.356,2018
Kenya,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: No,133.839,142.966,152.938,163.395,177.954,191.243,194.401,210.345,2018
Kiribati,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No,0.189,0.211,0.224,0.23,0.242,0.251,0.253,0.264,2017
Korea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank. The Bank of Korea revised the national accounts data when adopting the 2008 System of National Accounts (SNA). Official data are only available from 2000. Data prior to 2000 were obtained by applying the growth rates of the previous data series and should be treated as provisional. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from before 1980","1,871.66","1,944.27","2,022.29","2,125.48","2,235.29","2,320.50","2,307.72","2,432.78",2019
Kosovo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. We have received revised National Accounts data. Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. Base year changes as new data is released - previous year's prices Chain-weighted: No,16.744,17.613,18.518,19.664,20.912,22.128,21.155,23.185,2019
Kuwait,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Ministry of Planning and Central Statistical Office Latest actual data: 2018 Notes: Real GDP data for the period 1990-2009 have been adjusted by desk economist to account for breaks in the source data. The breaks are associated with changes in the base year from 1984 to 1995, to 2000, and subsequently to 2010. Pre-revision data exist for the period prior to 1995. The nominal data were revised back to 1995. The latest revision of nominal and real data go to 2010. Using the pre-revision data, desk economist recalculated the constant price data for the period prior to 1995 so that y-o-y change of each component remains unchanged. A similar adjustment was made to the period 1995-2009. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. Nominal data has been revised by country authorities, therefore, deflators do not add to 100 until the Real figures get revised. Chain-weighted: No",282.988,287.629,299.111,290.39,301.172,308.672,307.193,323.945,2018
Kyrgyz Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No,19.611,20.583,21.698,23.154,24.539,26.082,25.187,27.728,2018
Lao P.D.R.,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No,38.601,41.838,45.24,49.241,53.623,57.133,57.912,62.348,2018
Latvia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995",47.198,49.244,50.636,53.544,57.199,59.475,54.7,60.387,2019
Lebanon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. 2004-2014 Latest actual data: 2018. Data for 2004-2014 revised as per the latest data from the statistics office. National accounts manual used: System of National Accounts (SNA) 2008. Accounts were established according to the SNA 2008 but with simplified model adapted to Lebanon. . GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. Used by Fund staff (the authorities use 2010 as base year). Chain-weighted: Yes, from 2010",82.649,83.686,85.846,88.207,88.615,84.288,74.628,n/a,2018
Lesotho,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2017/18. 2017/2018 is latest actual data Notes: The national accounts real values have been updated from 2015 onwards. Prior to 2015 the data has been adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008. The authorities produce estimates of GDP on the basis of sectoral production GDP valuation: Market prices Start/end months of reporting year: April/March. Observations for NGDP_R[12/13] and NGDP[12/13] are saved in DMX in year 2012 Base year: 2012/13. 2012/2013 is base year Chain-weighted: No,5.936,6.194,6.47,6.528,6.713,6.911,6.593,7.066,2018
Liberia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank of Liberia Latest actual data: 2018 Notes: Real GDP are in billions of U.S. dollars. The National Accounts data are staff estimates and are based on the preliminary results of the 2016 Household Income and Expenditure Survey, and of an ongoing STA technical assistance on National Accounts. The pre-2016 data were spliced with a constant ratio. These staff estimates will be replaced once official data become available. National accounts manual used: System of National Accounts (SNA) 1993. The National Accounts data are staff estimates and are based on the preliminary results of the 2016 Household Income and Expenditure Survey, and of an ongoing STA technical assistance on National Accounts. The pre-2016 data were spliced with a constant ratio. These staff estimates will be replaced once official data become available. GDP valuation: Market prices. Official data reported in billions of U.S. dollars. Start/end months of reporting year: January/December Base year: 1992 Chain-weighted: No",5.821,5.882,5.846,6.103,6.33,6.278,6.16,6.533,2018
Libya,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Ministry of Planning . Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Compiled using the 1968 System of National Accounts (SNA) methodology. Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No,45.031,39.575,37.03,61.878,74.719,83.54,34.753,64.007,2017
Lithuania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Data from Statistics Lithuania: http://www.stat.gov.lt/en/ Latest actual data: 2019 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2005",80.886,83.39,86.407,91.774,97.436,103.014,95.286,105.066,2019
Luxembourg,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995. The Luxembourg statistics office (STATEC) publishes the national accounts data starting from 2000 only. Previously, the same data were published from 1995, but when the authorities moved to the ESA 2010 standard, the historical data were only revised back to 2000.",54.206,57.128,60.36,62.604,66.125,68.824,65.868,70.407,2019
Macao SAR,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 2001",81.317,64.421,64.62,72.347,78.143,75.76,53.662,72.224,2019
Madagascar,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2017. 2018 is prelim data National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No,39.94,41.62,43.73,46.306,49.6,52.865,53.409,57.18,2017
Malawi,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2011. Since 2011 we have used IMF staff?s and Malawian authorities? combined estimates for National Accounts data. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No,19.658,20.449,21.13,22.389,23.661,25.157,25.57,26.72,2011
Malaysia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. From Department of Statistics Malaysia (DOS) downloaded via CEIC Latest actual data: 2019 Notes: GDP was rebased by the National Statistical Office, new base year is 2015. The official series starts in 2015. Data prior to that is spliced based on the old series. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. Data prior to 2015 are spliced by the country team. Chain-weighted: No",783.473,831.268,877.249,945.089,"1,014.02","1,076.37","1,064.80","1,183.26",2019
Maldives,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Ministry of Finance or Treasury. National Bureau of Statistics Latest actual data: 2018. The last two years are estimated figures National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Production-based measure. Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No,5.924,6.158,6.616,7.199,7.883,8.474,7.839,9.047,2018
Mali,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 Notes: National accounts have new methodology starting in 1990. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1999 Chain-weighted: No,33.345,35.924,38.454,41.152,44.337,47.411,48.443,51.428,2018
Malta,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Haver Analytics. Eurostat Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000",15.164,16.986,18.162,19.702,21.658,23.001,22.496,24.544,2019
Marshall Islands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2017/18 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: 2003/04. Base year is Fiscal Year 2004 (Calendar Year 2003/2004). Chain-weighted: No,0.17,0.175,0.179,0.19,0.202,0.21,0.211,0.222,2018
Mauritania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No,19.671,20.944,21.428,22.595,23.635,25.456,25.109,26.669,2015
Mauritius,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 Notes: Figures for exports and imports of services are not equal to those compiled by the BOM, due to the difference in sectoral coverage and the treatment of FISIM by CSO and BOM. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1999",24.314,25.44,26.69,28.23,30.006,31.592,29.631,31.991,2018
Mexico,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No,"2,180.18","2,275.31","2,365.78","2,461.38","2,575.21","2,616.29","2,458.34","2,582.07",2019
Micronesia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2017/18 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: 2003/04 Chain-weighted: No,0.304,0.322,0.328,0.343,0.352,0.362,0.363,0.376,2018
Moldova,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 Notes: National accounts data from 2010 onwards sourced from the latest update by the National Bureau of Statistics. National accounts data prior to 2010 have been backspliced by IMF staff. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995. The National Statistics Office is using 2010 as a base year while this submission is based on 1995. Chain-weighted: No,21.454,21.604,22.79,24.309,25.897,27.292,26.642,28.275,2018
Mongolia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. Discrepancies rise from staff estimates based on the balance of payment data and the authorities' data on net exports at constant price. Latest actual data: 2019 Notes: Data prior to 1991 cannot be confirmed by national sources. Data after 2000 has been rebased National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No,35.049,36.257,37.06,39.773,43.695,46.723,46.55,51.254,2019
Montenegro,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. MONSTAT Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No,9.585,10.013,10.415,11.112,11.96,12.608,11.549,12.537,2018
Morocco,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2007",260.451,275.135,280.894,298.304,314.709,327.251,317.001,338.62,2019
Mozambique,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office. Instituto Nacional de Estadistica (INE). Latest actual data: 2019 Notes: Data prior to 1992 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993. Authorities have incorporated certain aspects of the 2008 SNA manual. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No,33.941,36.6,38.394,40.58,42.994,44.716,45.99,49.091,2019
Myanmar,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: Ministry of National Planning and Economic Development. Historical data up to 2015/16 have been re-estimated by IMF staff to ensure data consistency after the change of fiscal year from April-March to October-September. Latest actual data: 2018/19 National accounts manual used: Other GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: October/September. In 2018 Myanmar authorities changed the fiscal year to 1 October to 30 September from previously 1 April to 31 March. Historical data up to 2015/16 have been re-estimated by IMF staff to ensure data consistency. Base year: 2015/16 Chain-weighted: No,240.535,261.201,280.818,302.558,329.78,357.339,366.079,401.34,2019
Namibia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No,23.951,25.296,25.486,25.95,26.673,26.76,26.261,27.629,2018
Nauru,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Nauru Authorities, IMF staff estimates Latest actual data: 2017/18. Nauru Authorities, IMF staff estimates National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: July/June Base year: 2006/07 Chain-weighted: No",0.107,0.112,0.117,0.112,0.122,0.125,0.124,0.128,2018
Nepal,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018/19 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: August/July. Fiscal year starts on July 16th, and ends July 15th the following year Base year: 2000/01. Data prior to 2000/01 were estimated by IMF staff by using data splicing Chain-weighted: No",67.796,70.779,71.932,79.314,86.655,94.383,97.365,104.202,2019
Netherlands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980",828.03,853.035,880.758,923.466,970.536,"1,005.34",935.911,982.624,2019
New Zealand,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Statistics New Zealand Latest actual data: 2019. Authorities' actual annual data are April/March recalculated using quarterly data as Jan/Dec National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Data refer to calendar years Start/end months of reporting year: January/December. January/December annual data calculated from quarterly data consistent with authorities' actual April/March annual data Base year: 2009/10. The base year is 2009Q2 to 2010Q1 Chain-weighted: Yes, from 1987",162.368,170.749,179.705,190,200.79,208.744,194.919,210.525,2019
Nicaragua,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank Latest actual data: 2018 Notes: Due to political and economic events (civil war and hyperinflation) data prior to 1995 are less reliable. National accounts manual used: System of National Accounts (SNA) 1993. In 2012 Nicaragua officially changed the base year of the national accounts from 1994 to 2006. In 2003 Nicaragua officially changed the base year of the national accounts from 1980 to 1994 and adopted the United Nations System of National Accounts (SNA93) for the calculation of GDP. Methodology described in: http://www.bcn.gob.ni/publicaciones/eventuales/pib_trimestral/PIB_Trimestral.pdf GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1994. annual overlap",30.395,32.183,34,36.245,35.661,34.875,32.991,33.634,2018
Niger,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No,24.378,25.708,27.451,29.366,32.189,34.659,35.211,38.81,2018
Nigeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Official re-based (2010) data for 2010-13 was published in July 2014, based on SNA 2008. Official backcasted data were published in July 2016 and 1990-2009 nominal and real GDP numbers were updated. However expenditure components of GDP are still IMF staff estimates and are subject to revision with official backcasted data. Latest actual data: 2018 Notes: Official backcasted data were published in July 2016 and 1990-2009 nominal and real GDP numbers were updated. However expenditure components of GDP are still IMF staff estimates and are subject to revision with official backcasted data. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. from October WEO submission Chain-weighted: No","1,057.17","1,096.51","1,089.95","1,119.43","1,168.75","1,215.39","1,181.40","1,232.91",2018
North Macedonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No,27.868,29.244,30.388,31.295,32.93,34.694,33.517,36.563,2019
Norway,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: Nominally ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017 Chain-weighted: Yes, from 1980",347.854,358.39,365.981,381.536,395.872,407.412,384.298,403.344,2018
Oman,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No,167.708,177.347,187.958,192.16,200.314,204.762,200.203,210.173,2018
